category,pattern,log_level,error_code,show_toast,save_to_db,toast_extras,rationale,example_file,count
POS_ADD_ITEM_SUCCESS,Product/variation/fee/shipping added successfully,success,none,yes,yes,none,User feedback + audit trail of cart changes,use-add-product.ts,4
POS_ADD_ITEM_ERROR,Failed to add item to cart,error,TRANSACTION_FAILED,yes,yes,none,User blocked + needs tracking for support,use-add-product.ts,4
POS_REMOVE_ITEM,Item removed with undo action,success,none,yes,yes,undo_action,User feedback + audit trail + allows undo,use-remove-line-item.ts,1
VOID_ORDER,Order voided with undo action,success,none,yes,yes,undo_action,Critical operation + audit trail + allows undo,void.tsx,1
VOID_UNDO_ERROR,Failed to restore voided order,error,TRANSACTION_FAILED,yes,yes,none,Critical failure needs immediate attention,void.tsx,1
SAVE_ORDER_SUCCESS,Order saved to server successfully,success,none,yes,yes,none,User feedback + audit trail,save-order.tsx,1
SAVE_ORDER_ERROR,Failed to save order to server,error,TRANSACTION_FAILED,yes,yes,none,User blocked + needs tracking,save-order.tsx,1
CHECKOUT_ERROR,Checkout failed,error,TRANSACTION_FAILED,yes,yes,none,User blocked + financial tracking,pay.tsx,1
PAYMENT_PROCESSING_ERROR,Payment gateway error,error,PAYMENT_GATEWAY_ERROR,yes,yes,none,Financial + user blocked + needs tracking,payment-webview.tsx,2
CUSTOMER_SAVE_SUCCESS,Customer saved successfully,success,none,yes,yes,none,User feedback + data audit trail,add-customer.tsx,3
CUSTOMER_SAVE_ERROR,Failed to save customer,error,TRANSACTION_FAILED,yes,yes,none,User blocked + needs tracking,add-customer.tsx,3
CUSTOMER_NOT_FOUND,Customer record not found,error,RECORD_NOT_FOUND,yes,yes,none,User blocked + data integrity issue,edit-cart-customer.tsx,1
ORDER_SAVE_SUCCESS,Order record saved successfully,success,none,yes,yes,none,User feedback + data audit trail,orders/edit/form.tsx,1
ORDER_SAVE_ERROR,Failed to save order record,error,TRANSACTION_FAILED,yes,yes,none,User blocked + needs tracking,orders/edit/form.tsx,1
PRODUCT_SAVE_SUCCESS,Product saved successfully,success,none,yes,yes,none,User feedback + data audit trail,products/edit/product/form.tsx,2
PRODUCT_SAVE_ERROR,Failed to save product,error,TRANSACTION_FAILED,yes,yes,none,User blocked + needs tracking,products/edit/product/form.tsx,2
VARIATION_SAVE_SUCCESS,Variation saved successfully,success,none,yes,yes,none,User feedback + data audit trail,products/edit/variation/form.tsx,1
VARIATION_SAVE_ERROR,Failed to save variation,error,TRANSACTION_FAILED,yes,yes,none,User blocked + needs tracking,products/edit/variation/form.tsx,1
EMAIL_SENT_SUCCESS,Receipt email sent successfully,success,none,yes,yes,none,User feedback + communication audit,receipt/email.tsx,1
EMAIL_SEND_ERROR,Failed to send receipt email,error,CONNECTION_REFUSED,yes,yes,none,User needs to know + track failures,receipt/email.tsx,1
DOCUMENT_DELETE_SUCCESS,Document deleted from server,success,none,yes,yes,none,User feedback + audit trail,use-delete-document.tsx,1
